"","ID","R1","R2","target","condition","freq1","word1","word2","reuse","switch","first","second"
"121","11","0","0","arma","AA",0,"pistola","pistola","1","no","out","out"
"122","11","0","0","bañera","AA",19,"tina","tina","1","no","out","out"
"123","11","0","0","barriga","AA",0,"panza","panza","1","no","out","out"
"124","11","0","0","bolígrafo","AA",4,"pluma","pluma","1","no","out","out"
"125","11","0","0","bombilla","AA",1,"foco","foco","1","no","out","out"
"126","11","0","0","cigarrillo","AA",0,"cigarro","cigarro","1","no","out","out"
"127","11","0","0","emparedado","AA",0,"sandwich","sandwich","1","no","out","out"
"128","11","0","0","gafas","AA",0,"lentes","lentes","1","no","out","out"
"129","11","0","0","liebre","AA",0,"conejo","conejo","1","no","out","out"
"130","11","0","0","maní","AA",0,"cacahuate","cacahuate","1","no","out","out"
"131","11","0","0","médico","AA",15,"doctor","doctor","1","no","out","out"
"132","11","0","0","melocotón","AA",0,"durazno","durazno","1","no","out","out"
"133","11","0","0","motocicleta","AA",20,"moto","moto","1","no","out","out"
"134","11","0","0","móvil","AA",0,"celular","celular","1","no","out","out"
"135","11","0","0","patata","AA",0,"papa","papa","1","no","out","out"
"136","11","0","0","pelota","AA",19,"balon","balon","1","no","out","out"
"137","11","0","0","roedor","AA",0,"raton","raton","1","no","out","out"
"138","11","1","0","sapo","AA",10,"sapo","rana","0","no","out","out"
"139","11","0","0","sudadera","AA",0,"sueter","sueter","1","no","out","out"
"140","11","0","0","templo","AA",0,"iglesia","iglesia","1","no","out","out"
"141","12","1","0","arma","AA",0,"arma","pistola","0","no","out","out"
"142","12","1","1","bañera","AA",19,"bañera","bañera","1","no","out","out"
"143","12","1","1","barriga","AA",0,"barriga","barriga","1","no","out","out"
"144","12","1","1","bolígrafo","AA",4,"bolígrafo","bolígrafo","1","no","out","out"
"145","12","1","1","bombilla","AA",1,"bombilla","bombilla","1","no","out","out"
"146","12","1","1","cigarrillo","AA",0,"cigarrillo","cigarrillo","1","no","out","out"
"147","12","1","0","emparedado","AA",0,"emparedado","sándwich","0","no","out","out"
"148","12","0","0","gafas","AA",0,"lentes","lentes","1","no","out","out"
"149","12","1","1","liebre","AA",0,"liebre","liebre","1","no","out","out"
"150","12","1","1","maní","AA",0,"maní","maní","1","no","out","out"
"151","12","1","1","médico","AA",15,"médico","médico","1","no","out","out"
"152","12","1","0","melocotón","AA",0,"melocotón","durazno","0","no","out","out"
"153","12","1","1","motocicleta","AA",20,"motocicleta","motocicleta","1","no","out","out"
"154","12","0","0","móvil","AA",0,"celular","celular","1","no","out","out"
"155","12",NA,"0","patata","AA",0,"césped","papa",NA,"no","out","out"
"156","12","1","1","pelota","AA",19,"pelota","pelota","1","no","out","out"
"157","12","0","0","roedor","AA",0,"ratón","ratón","1","no","out","out"
"158","12",NA,"0","sapo","AA",10,"acordeon","rana",NA,"no","out","out"
"159","12","1","1","sudadera","AA",0,"sudadera","sudadera","1","no","out","out"
"160","12","0","0","templo","AA",0,"iglesia","iglesia","1","no","out","out"
"161","16","1","1","arma","AA",0,"arma","arma","1","no","out","out"
"162","16","1","1","bañera","AA",19,"bañera","bañera","1","no","out","out"
"163","16","1","1","barriga","AA",0,"barriga","barriga","1","no","out","out"
"164","16","1","1","bolígrafo","AA",4,"bolígrafo","bolígrafo","1","no","out","out"
"165","16","1","1","bombilla","AA",1,"bombilla","bombilla","1","no","out","out"
"166","16","1","1","cigarrillo","AA",0,"cigarrillo","cigarrillo","1","no","out","out"
"167","16","1","1","emparedado","AA",0,"emparedado","emparedado","1","no","out","out"
"168","16","1","0","gafas","AA",0,"gafas","anteojos","0","no","out","out"
"169","16","1","0","liebre","AA",0,"liebre","conejo","0","no","out","out"
"170","16","1","1","maní","AA",0,"maní","maní","1","no","out","out"
"171","16","1","0","médico","AA",15,"médico","doctor","0","no","out","out"
"172","16","1","1","melocotón","AA",0,"melocotón","melocotón","1","no","out","out"
"173","16","0","0","motocicleta","AA",20,"moto","moto","1","no","out","out"
"174","16","1","1","móvil","AA",0,"móvil","móvil","1","no","out","out"
"175","16","1","1","patata","AA",0,"patata","patata","1","no","out","out"
"176","16","1","0","pelota","AA",19,"pelota","balon","0","no","out","out"
"177","16","1","1","roedor","AA",0,"roedor","roedor","1","no","out","out"
"178","16","1","1","sapo","AA",10,"sapo","sapo","1","no","out","out"
"179","16","1","0","sudadera","AA",0,"sudadera","sweter","0","no","out","out"
"180","16","1","1","templo","AA",0,"templo","templo","1","no","out","out"
"181","18","0","0","arma","AA",0,"pistola","pistola","1","no","out","out"
"182","18","1","1","bañera","AA",19,"bañera","bañera","1","no","out","out"
"183","18","1","1","barriga","AA",0,"barriga","barriga","1","no","out","out"
"184","18",NA,"1","bolígrafo","AA",4,"césped","bolígrafo",NA,"no","out","out"
"185","18","1","1","bombilla","AA",1,"bombilla","bombilla","1","no","out","out"
"186","18","1","1","cigarrillo","AA",0,"cigarrillo","cigarrillo","1","no","out","out"
"187","18","0","0","emparedado","AA",0,"sandwich","sandwich","1","no","out","out"
"188","18","0","0","gafas","AA",0,"lentes","lentes","1","no","out","out"
"189","18","1","1","liebre","AA",0,"liebre","liebre","1","no","out","out"
"190","18","0","0","maní","AA",0,"cacahuate","cacahuate","1","no","out","out"
"191","18","0","0","médico","AA",15,"doctor","doctor","1","no","out","out"
"192","18","1","1","melocotón","AA",0,"melocotón","melocotón","1","no","out","out"
"193","18","1","1","motocicleta","AA",20,"motocicleta","motocicleta","1","no","out","out"
"194","18","1","1","móvil","AA",0,"móvil","móvil","1","no","out","out"
"195","18","0","0","patata","AA",0,"papa","papa","1","no","out","out"
"196","18","1","1","pelota","AA",19,"pelota","pelota","1","no","out","out"
"197","18","0","1","roedor","AA",0,"raton","roedor","0","no","out","out"
"198","18","1","1","sapo","AA",10,"sapo","sapo","1","no","out","out"
"199","18","1","1","sudadera","AA",0,"sudadera","sudadera","1","no","out","out"
"200","18","1","1","templo","AA",0,"templo","templo","1","no","out","out"
"201","19","1","1","arma","AA",0,"arma","arma","1","no","out","out"
"202","19","1",NA,"bañera","AA",19,"bañera","pastel","0","no","out","out"
"203","19","1","1","barriga","AA",0,"barriga","barriga","1","no","out","out"
"204","19","1","1","bolígrafo","AA",4,"bolígrafo","bolígrafo","1","no","out","out"
"205","19","1","1","bombilla","AA",1,"bombilla","bombilla","1","no","out","out"
"206","19","1","1","cigarrillo","AA",0,"cigarrillo","cigarrillo","1","no","out","out"
"207","19","1","1","emparedado","AA",0,"emparedado","emparedado","1","no","out","out"
"208","19","1","1","gafas","AA",0,"gafas","gafas","1","no","out","out"
"209","19","1","1","liebre","AA",0,"liebre","liebre","1","no","out","out"
"210","19","1",NA,"maní","AA",0,"maní","perro","0","no","out","out"
"211","19","1","1","médico","AA",15,"médico","médico","1","no","out","out"
"212","19","1","1","melocotón","AA",0,"melocotón","melocotón","1","no","out","out"
"213","19","1","1","motocicleta","AA",20,"motocicleta","motocicleta","1","no","out","out"
"214","19","1","1","móvil","AA",0,"móvil","móvil","1","no","out","out"
"215","19","1","1","patata","AA",0,"patata","patata","1","no","out","out"
"216","19","1","1","pelota","AA",19,"pelota","pelota","1","no","out","out"
"217","19","1","1","roedor","AA",0,"roedor","roedor","1","no","out","out"
"218","19","1","1","sapo","AA",10,"sapo","sapo","1","no","out","out"
"219","19","1","1","sudadera","AA",0,"sudadera","sudadera","1","no","out","out"
"220","19","1","1","templo","AA",0,"templo","templo","1","no","out","out"
"221","21","1","1","arma","AA",0,"arma","arma","1","no","out","out"
"222","21","1","1","bañera","AA",19,"bañera","bañera","1","no","out","out"
"223","21","1","1","barriga","AA",0,"barriga","barriga","1","no","out","out"
"224","21","1","1","bolígrafo","AA",4,"bolígrafo","bolígrafo","1","no","out","out"
"225","21","0","0","bombilla","AA",1,"foco","foco","1","no","out","out"
"226","21","1","0","cigarrillo","AA",0,"cigarrillo","cigarro","0","no","out","out"
"227","21","0","0","emparedado","AA",0,"sandwich","sandwich","1","no","out","out"
"228","21","0","0","gafas","AA",0,"lentes","lentes","1","no","out","out"
"229","21","0","0","liebre","AA",0,"conejo","conejo","1","no","out","out"
"230","21","0","0","maní","AA",0,"cacahuate","cacahuate","1","no","out","out"
"231","21","1","1","médico","AA",15,"médico","médico","1","no","out","out"
"232","21","0","0","melocotón","AA",0,"durazno","durazno","1","no","out","out"
"233","21","1","1","motocicleta","AA",20,"motocicleta","motocicleta","1","no","out","out"
"234","21","0","0","móvil","AA",0,"celular","celular","1","no","out","out"
"235","21","0","0","patata","AA",0,"papa","papa","1","no","out","out"
"236","21","1","0","pelota","AA",19,"pelota","balón","0","no","out","out"
"237","21","0","0","roedor","AA",0,"raton","ratón","0","no","out","out"
"238","21","1","1","sapo","AA",10,"sapo","sapo","1","no","out","out"
"239","21","0","0","sudadera","AA",0,"sueter","suéter","0","no","out","out"
"240","21","0","0","templo","AA",0,"iglesia","iglesia","1","no","out","out"
"241","22","0","0","arma","AA",0,"pistola","pistola","1","no","out","out"
"242","22","1","1","bañera","AA",19,"bañera","bañera","1","no","out","out"
"243","22","0","1","barriga","AA",0,"panza","barriga","0","no","out","out"
"244","22","0","0","bolígrafo","AA",4,"pluma","pluma","1","no","out","out"
"245","22","0","0","bombilla","AA",1,"foco","foco","1","no","out","out"
"246","22","0","0","cigarrillo","AA",0,"cigarro","cigarro","1","no","out","out"
"247","22","0","0","emparedado","AA",0,"sandwich","sandwich","1","no","out","out"
"248","22","0","0","gafas","AA",0,"lentes","lentes","1","no","out","out"
"249","22","1",NA,"liebre","AA",0,"liebre","liebre","1","no","out","out"
"250","22","0","0","maní","AA",0,"cacahuate ","cacahuate","0","no","out","out"
"251","22","0","0","médico","AA",15,"doctor","doctor","1","no","out","out"
"252","22","0","0","melocotón","AA",0,"durazno","durazno","1","no","out","out"
"253","22","0","0","motocicleta","AA",20,"moto","moto","1","no","out","out"
"254","22","0","1","móvil","AA",0,"celular","móvil","0","no","out","out"
"255","22","0","0","patata","AA",0,"papa","papa","1","no","out","out"
"256","22","1","1","pelota","AA",19,"pelota","pelota","1","no","out","out"
"257","22","0","0","roedor","AA",0,"ratón","ratón","1","no","out","out"
"258","22","0","0","sapo","AA",10,"rana","rana","1","no","out","out"
"259","22","1","1","sudadera","AA",0,"sudadera","sudadera","1","no","out","out"
"260","22","0","0","templo","AA",0,"iglesia","iglesia","1","no","out","out"
"261","23","1","1","arma","AA",0,"arma","arma","1","no","out","out"
"262","23","1","1","bañera","AA",19,"bañera","bañera","1","no","out","out"
"263","23","0","1","barriga","AA",0,"barriga ","barriga","0","no","out","out"
"264","23","1","1","bolígrafo","AA",4,"bolígrafo","bolígrafo","1","no","out","out"
"265","23","0","1","bombilla","AA",1,"bombilla ","bombilla","0","no","out","out"
"266","23","1","1","cigarrillo","AA",0,"cigarrillo","cigarrillo","1","no","out","out"
"267","23","1","1","emparedado","AA",0,"emparedado","emparedado","1","no","out","out"
"268","23","1","1","gafas","AA",0,"gafas","gafas","1","no","out","out"
"269","23","0","0","liebre","AA",0,"conejo ","conejo","0","no","out","out"
"270","23","1","1","maní","AA",0,"maní","maní","1","no","out","out"
"271","23","1","1","médico","AA",15,"médico","médico","1","no","out","out"
"272","23","1","1","melocotón","AA",0,"melocotón","melocotón","1","no","out","out"
"273","23","1","1","motocicleta","AA",20,"motocicleta","motocicleta","1","no","out","out"
"274","23","1","1","móvil","AA",0,"móvil","móvil","1","no","out","out"
"275","23","1","1","patata","AA",0,"patata","patata","1","no","out","out"
"276","23","1","1","pelota","AA",19,"pelota","pelota","1","no","out","out"
"277","23","1","1","roedor","AA",0,"roedor","roedor","1","no","out","out"
"278","23","1","1","sapo","AA",10,"sapo","sapo","1","no","out","out"
"279","23","1","1","sudadera","AA",0,"sudadera","sudadera","1","no","out","out"
"280","23","1","1","templo","AA",0,"templo","templo","1","no","out","out"
"281","2344","0","0","arma","MM",0,"revólver","revólver","1","no","in","in"
"282","2344","0","0","bañera","MM",19,"tina","tina","1","no","in","in"
"283","2344","0","0","barriga","MM",0,"panza","panza","1","no","in","in"
"284","2344","0","0","bolígrafo","MM",4,"lapicero","lapicero","1","no","in","in"
"285","2344","0","0","bombilla","MM",1,"foco","foco","1","no","in","in"
"286","2344","0","0","cigarrillo","MM",0,"cigarro","cigarro","1","no","in","in"
"287","2344","0","0","emparedado","MM",0,"sandwich","sandwich","1","no","in","in"
"288","2344","0","1","gafas","MM",0,"anteojos","gafas","0","no","in","in"
"289","2344","0","0","liebre","MM",0,"conejo","conejo","1","no","in","in"
"290","2344","0","0","maní","MM",0,"cacahuate","cacahuate","1","no","in","in"
"291","2344","0","0","médico","MM",15,"doctor","doctor","1","no","in","in"
"292","2344","0","0","melocotón","MM",0,"durazno","durazno","1","no","in","in"
"293","2344","1","1","motocicleta","MM",20,"motocicleta","motocicleta","1","no","in","in"
"294","2344","0","0","móvil","MM",0,"celular","celular","1","no","in","in"
"295","2344","0","0","patata","MM",0,"papa","papa","1","no","in","in"
"296","2344","0","0","pelota","MM",19,"balón","balón","1","no","in","in"
"297","2344","0","0","roedor","MM",0,"rata","rata","1","no","in","in"
"298","2344","0","1","sapo","MM",10,"rana","sapo","0","no","in","in"
"299","2344","0","0","sudadera","MM",0,"suetér","suéter","0","no","in","in"
"300","2344","0","0","templo","MM",0,"iglesia","iglesia","1","no","in","in"
"301","2345","0","0","arma","MM",0,"revolver","revolver","1","no","in","in"
"302","2345","1","1","bañera","MM",19,"bañera","bañera","1","no","in","in"
"303","2345","0","0","barriga","MM",0,"panza","panza","1","no","in","in"
"304","2345","0","0","bolígrafo","MM",4,"pluma","pluma","1","no","in","in"
"305","2345","1","0","bombilla","MM",1,"bombilla","foco","0","no","in","in"
"306","2345","0","0","cigarrillo","MM",0,"cigarro","cigarro","1","no","in","in"
