"","ID","aligncode","round1","target","condition","freq1","word","age","languages","partner"
"166",123,"1","1","asno","SS",7,"asno",25,2,"in"
"167",123,"1","1","alfombrilla","SS",17,"alfombrilla",25,2,"in"
"168",123,"1","1","tripa","SS",7,"tripa",25,2,"in"
"169",124,"1","1","sapo","SS",3,"sapo",45,4,"in"
"170",124,"1","1","tripa","SS",7,"tripa",45,4,"in"
"171",124,"0","1","papa","SS",7,"patata",45,4,"in"
"172",124,"0","1","roedor","SS",0,"rat¢n",45,4,"in"
"173",124,"1","1","motocicleta","SS",0,"motocicleta",45,4,"in"
"174",124,"1","1","ropa interior","SS",0,"ropa interior",45,4,"in"
"175",124,"0","1","lentes","SS",0,"gafas",45,4,"in"
"176",124,"0","1","nino","SS",3,"beb‚",45,4,"in"
"177",124,"0","1","instrumento musical","SS",0,"acorde¢n",45,4,"in"
"178",124,"0","1","guardarropa","SS",0,"armario",45,4,"in"
"179",124,"0","1","freson","SS",0,"fresa",45,4,"in"
"180",124,"1","1","cuchillo","SS",20,"cuchillo",45,4,"in"
"181",124,"1","1","ferrocarril","SS",0,"ferrocarril",45,4,"in"
"182",124,"1","1","cuberteria","SS",13,"cuberteria",45,4,"in"
"183",124,"1","1","cabello","SS",7,"cabello",45,4,"in"
"184",124,"1","1","birra","SS",7,"birra",45,4,"in"
"185",124,"1","1","banana","SS",10,"banana",45,4,"in"
"186",124,"0","1","barra de labios","SS",0,"pintalabios",45,4,"in"
"187",124,"1","1","pintura","SS",0,"pintura",45,4,"in"
"188",124,"0","1","alfombrilla","SS",17,"felpudo",45,4,"in"
"189",124,"1","1","asno","SS",7,"asno",45,4,"in"
"190",129,"1","1","tripa","SL",7,"tripa",20,1,"in"
"191",129,"1","1","sapo","SL",3,"sapo",20,1,"in"
"192",129,"1","1","ropa interior","SL",0,"ropa interior",20,1,"in"
"193",129,"0","1","papa","SL",7,"patata",20,1,"in"
"194",129,"0","1","roedor","SL",0,"raton",20,1,"in"
"195",129,"1","1","motocicleta","SL",0,"motocicleta",20,1,"in"
"196",129,"1","1","pintura","SL",0,"pintura",20,1,"in"
"197",129,"1","1","lentes","SL",0,"lentes",20,1,"in"
"198",129,"0","1","nino","SL",3,"bbe",20,1,"in"
