"","ID","aligncode","round1","target","condition","freq1","word","partner"
"225","21","0","1","bombilla","AA",1,"foco","out"
"226","21","1","1","cigarrillo","AA",0,"cigarrillo","out"
"227","21","0","1","emparedado","AA",0,"sandwich","out"
"228","21","0","1","gafas","AA",0,"lentes","out"
"229","21","0","1","liebre","AA",0,"conejo","out"
"230","21","0","1","maní","AA",0,"cacahuate","out"
"231","21","1","1","médico","AA",15,"médico","out"
"232","21","0","1","melocotón","AA",0,"durazno","out"
"233","21","1","1","motocicleta","AA",20,"motocicleta","out"
"234","21","0","1","móvil","AA",0,"celular","out"
"235","21","0","1","patata","AA",0,"papa","out"
"236","21","1","1","pelota","AA",19,"pelota","out"
"237","21","0","1","roedor","AA",0,"raton","out"
"238","21","1","1","sapo","AA",10,"sapo","out"
"239","21","0","1","sudadera","AA",0,"sueter","out"
"240","21","0","1","templo","AA",0,"iglesia","out"
"241","22","0","1","arma","AA",0,"pistola","out"
"242","22","1","1","bañera","AA",19,"bañera","out"
"243","22","0","1","barriga","AA",0,"panza","out"
"244","22","0","1","bolígrafo","AA",4,"pluma","out"
"245","22","0","1","bombilla","AA",1,"foco","out"
"246","22","0","1","cigarrillo","AA",0,"cigarro","out"
"247","22","0","1","emparedado","AA",0,"sandwich","out"
"248","22","0","1","gafas","AA",0,"lentes","out"
"249","22","1","1","liebre","AA",0,"liebre","out"
"250","22","0","1","maní","AA",0,"cacahuate ","out"
"251","22","0","1","médico","AA",15,"doctor","out"
"252","22","0","1","melocotón","AA",0,"durazno","out"
"253","22","0","1","motocicleta","AA",20,"moto","out"
"254","22","0","1","móvil","AA",0,"celular","out"
"255","22","0","1","patata","AA",0,"papa","out"
"256","22","1","1","pelota","AA",19,"pelota","out"
"257","22","0","1","roedor","AA",0,"ratón","out"
"258","22","0","1","sapo","AA",10,"rana","out"
"259","22","1","1","sudadera","AA",0,"sudadera","out"
"260","22","0","1","templo","AA",0,"iglesia","out"
"261","23","1","1","arma","AA",0,"arma","out"
"262","23","1","1","bañera","AA",19,"bañera","out"
"263","23","0","1","barriga","AA",0,"barriga ","out"
"264","23","1","1","bolígrafo","AA",4,"bolígrafo","out"
"265","23","0","1","bombilla","AA",1,"bombilla ","out"
"266","23","1","1","cigarrillo","AA",0,"cigarrillo","out"
"267","23","1","1","emparedado","AA",0,"emparedado","out"
"268","23","1","1","gafas","AA",0,"gafas","out"
"269","23","0","1","liebre","AA",0,"conejo ","out"
"270","23","1","1","maní","AA",0,"maní","out"
"271","23","1","1","médico","AA",15,"médico","out"
"272","23","1","1","melocotón","AA",0,"melocotón","out"
"273","23","1","1","motocicleta","AA",20,"motocicleta","out"
"274","23","1","1","móvil","AA",0,"móvil","out"
"275","23","1","1","patata","AA",0,"patata","out"
"276","23","1","1","pelota","AA",19,"pelota","out"
"277","23","1","1","roedor","AA",0,"roedor","out"
"278","23","1","1","sapo","AA",10,"sapo","out"
"279","23","1","1","sudadera","AA",0,"sudadera","out"
"280","23","1","1","templo","AA",0,"templo","out"
"281","24","0","1","arma","AA",0,"pistola","out"
"282","24","0","1","bañera","AA",19,"tina de baño","out"
"283","24","1","1","barriga","AA",0,"barriga","out"
"284","24","1","1","bolígrafo","AA",4,"bolígrafo","out"
"285","24","1","1","bombilla","AA",1,"bombilla","out"
"286","24","0","1","cigarrillo","AA",0,"cigarro","out"
"287","24","0","1","emparedado","AA",0,"sandwich","out"
"288","24","1","1","gafas","AA",0,"gafas","out"
"289","24","1","1","liebre","AA",0,"liebre","out"
"290","24","1","1","maní","AA",0,"maní","out"
"291","24","0","1","médico","AA",15,"doctor","out"
"292","24","1","1","melocotón","AA",0,"melocotón","out"
"293","24","0","1","motocicleta","AA",20,"moto","out"
"294","24","0","1","móvil","AA",0,"telefono","out"
"295","24","1","1","patata","AA",0,"patata","out"
"296","24","0","1","pelota","AA",19,"balon","out"
"297","24","0","1","roedor","AA",0,"raton","out"
"298","24","1","1","sapo","AA",10,"sapo","out"
"299","24","0","1","sudadera","AA",0,"sueter","out"
"300","24","0","1","templo","AA",0,"iglesia","out"
"301","25","1","1","arma","AA",0,"arma","out"
"302","25","1","1","bañera","AA",19,"bañera","out"
"303","25","0","1","barriga","AA",0,"panza","out"
"304","25","1","1","bolígrafo","AA",4,"bolígrafo","out"
"305","25","0","1","bombilla","AA",1,"foco","out"
"306","25","0","1","cigarrillo","AA",0,"cigarro","out"
"307","25","1","1","emparedado","AA",0,"emparedado","out"
"308","25","1","1","gafas","AA",0,"gafas","out"
"309","25","1","1","liebre","AA",0,"liebre","out"
"310","25","1","1","maní","AA",0,"maní","out"
"311","25","0","1","médico","AA",15,"doctor","out"
"312","25","1","1","melocotón","AA",0,"melocotón","out"
"313","25","0","1","motocicleta","AA",20,"moto","out"
"314","25","1","1","móvil","AA",0,"móvil","out"
"315","25","1","1","patata","AA",0,"patata","out"
"316","25","1","1","pelota","AA",19,"pelota","out"
"317","25","1","1","roedor","AA",0,"roedor","out"
"318","25","1","1","sapo","AA",10,"sapo","out"
"319","25","1","1","sudadera","AA",0,"sudadera","out"
"320","25","1","1","templo","AA",0,"templo","out"
"321","26","0","1","arma","AA",0,"pistola","out"
"322","26","0","1","bañera","AA",19,"tina","out"
"323","26","0","1","barriga","AA",0,"panza","out"
"324","26","0","1","bolígrafo","AA",4,"pluma","out"
"325","26","0","1","bombilla","AA",1,"foco","out"
"326","26","0","1","cigarrillo","AA",0,"cigarro","out"
"327","26","0","1","emparedado","AA",0,"sandwich","out"
"328","26","0","1","gafas","AA",0,"lentes","out"
"329","26","0","1","liebre","AA",0,"conejo","out"
"330","26","0","1","maní","AA",0,"cacahuate","out"
"331","26","0","1","médico","AA",15,"doctor","out"
"332","26","0","1","melocotón","AA",0,"durazno","out"
"333","26","0","1","motocicleta","AA",20,"moto","out"
"334","26","0","1","móvil","AA",0,"celular","out"
"335","26","0","1","patata","AA",0,"papa","out"
"336","26","0","1","pelota","AA",19,"balon","out"
"337","26","0","1","roedor","AA",0,"raton","out"
"338","26","1","1","sapo","AA",10,"sapo","out"
"339","26","0","1","sudadera","AA",0,"sueter","out"
"340","26","0","1","templo","AA",0,"iglesia","out"
"341","27","0","1","arma","AA",0,"pistola","out"
"342","27","0","1","bañera","AA",19,"tina","out"
"343","27","0","1","barriga","AA",0,"panza","out"
"344","27","0","1","bolígrafo","AA",4,"pluma","out"
"345","27","1","1","bombilla","AA",1,"bombilla","out"
"346","27","0","1","cigarrillo","AA",0,"cigarro","out"
"347","27","0","1","emparedado","AA",0,"sandwich","out"
"348","27","0","1","gafas","AA",0,"lentes","out"
"349","27","0","1","liebre","AA",0,"conejo","out"
"350","27","0","1","maní","AA",0,"cacahuate","out"
"351","27","0","1","médico","AA",15,"doctor","out"
"352","27","0","1","melocotón","AA",0,"durazno","out"
"353","27","1","1","motocicleta","AA",20,"motocicleta","out"
"354","27","0","1","móvil","AA",0,"celular","out"
"355","27","0","1","patata","AA",0,"papa","out"
"356","27","0","1","pelota","AA",19,"balón","out"
"357","27","0","1","roedor","AA",0,"ratón","out"
"358","27","1","1","sapo","AA",10,"sapo","out"
"359","27","0","1","sudadera","AA",0,"sueter","out"
"360","27","0","1","templo","AA",0,"iglesia","out"
"361","28","1","1","arma","AA",0,"arma","out"
"362","28","1","1","bañera","AA",19,"bañera","out"
"363","28","1","1","barriga","AA",0,"barriga","out"
"364","28","1","1","bolígrafo","AA",4,"bolígrafo","out"
"365","28","1","1","bombilla","AA",1,"bombilla","out"
"366","28","1","1","cigarrillo","AA",0,"cigarrillo","out"
"367","28","1","1","emparedado","AA",0,"emparedado","out"
"368","28","1","1","gafas","AA",0,"gafas","out"
"369","28","1","1","liebre","AA",0,"liebre","out"
"370","28","1","1","maní","AA",0,"maní","out"
"371","28","0","1","médico","AA",15,"doctor","out"
"372","28","1","1","melocotón","AA",0,"melocotón","out"
"373","28","1","1","motocicleta","AA",20,"motocicleta","out"
"374","28","1","1","móvil","AA",0,"móvil","out"
"375","28","1","1","patata","AA",0,"patata","out"
"376","28","1","1","pelota","AA",19,"pelota","out"
"377","28","1","1","roedor","AA",0,"roedor","out"
"378","28","1","1","sapo","AA",10,"sapo","out"
"379","28","1","1","sudadera","AA",0,"sudadera","out"
"380","28","1","1","templo","AA",0,"templo","out"
"381","29","0","1","arma","AA",0,"pistola","out"
"382","29","1","1","bañera","AA",19,"bañera","out"
"383","29","0","1","barriga","AA",0,"panza","out"
"384","29","1","1","bolígrafo","AA",4,"bolígrafo","out"
"385","29","1","1","bombilla","AA",1,"bombilla","out"
"386","29","1","1","cigarrillo","AA",0,"cigarrillo","out"
"387","29","1","1","emparedado","AA",0,"emparedado","out"
"388","29","1","1","gafas","AA",0,"gafas","out"
"389","29","0","1","liebre","AA",0,"conejo","out"
"390","29",NA,"1","maní","AA",0,"espalda","out"
"391","29","0","1","médico","AA",15,"doctor","out"
"392","29","1","1","melocotón","AA",0,"melocotón","out"
"393","29","1","1","motocicleta","AA",20,"motocicleta","out"
"394","29","1","1","móvil","AA",0,"móvil","out"
"395","29","1","1","patata","AA",0,"patata","out"
"396","29","0","1","pelota","AA",19,"balon","out"
"397","29","1","1","roedor","AA",0,"roedor","out"
"398","29","1","1","sapo","AA",10,"sapo","out"
"399","29","1","1","sudadera","AA",0,"sudadera","out"
"400","29","1","1","templo","AA",0,"templo","out"
"401","30","0","1","arma","AA",0,"revolver","out"
"402","30","1","1","bañera","AA",19,"bañera","out"
"403","30","0","1","barriga","AA",0,"panza","out"
"404","30","1","1","bolígrafo","AA",4,"bolígrafo","out"
"405","30","1","1","bombilla","AA",1,"bombilla","out"
"406","30","1","1","cigarrillo","AA",0,"cigarrillo","out"
"407","30","1","1","emparedado","AA",0,"emparedado","out"
"408","30","1","1","gafas","AA",0,"gafas","out"
"409","30","0","1","liebre","AA",0,"conejo","out"
"410","30","1","1","maní","AA",0,"maní","out"
"411","30","1","1","médico","AA",15,"médico","out"
"412","30","0","1","melocotón","AA",0,"durazno","out"
"413","30","1","1","motocicleta","AA",20,"motocicleta","out"
"414","30","1","1","móvil","AA",0,"móvil","out"
"415","30","1","1","patata","AA",0,"patata","out"
"416","30","0","1","pelota","AA",19,"balón","out"
"417","30","0","1","roedor","AA",0,"ratón","out"
"418","30","1","1","sapo","AA",10,"sapo","out"
"419","30","1","1","sudadera","AA",0,"sudadera","out"
"420","30","0","1","templo","AA",0,"catedra","out"
"421","31","0","1","arma","AA",0,"pistola","out"
"422","31","1","1","bañera","AA",19,"bañera","out"
"423","31","1","1","barriga","AA",0,"barriga","out"
"424","31","1","1","bolígrafo","AA",4,"bolígrafo","out"
"425","31","1","1","bombilla","AA",1,"bombilla","out"
"426","31","1","1","cigarrillo","AA",0,"cigarrillo","out"
"427","31","1","1","emparedado","AA",0,"emparedado","out"
"428","31","1","1","gafas","AA",0,"gafas","out"
"429","31","1","1","liebre","AA",0,"liebre","out"
"430","31","1","1","maní","AA",0,"maní","out"
"431","31","1","1","médico","AA",15,"médico","out"
"432","31","0","1","melocotón","AA",0,"durazno","out"
"433","31","1","1","motocicleta","AA",20,"motocicleta","out"
"434","31","0","1","móvil","AA",0,"smartphone","out"
"435","31","1","1","patata","AA",0,"patata","out"
"436","31","1","1","pelota","AA",19,"pelota","out"
"437","31","1","1","roedor","AA",0,"roedor","out"
"438","31","1","1","sapo","AA",10,"sapo","out"
"439","31","0","1","sudadera","AA",0,"sueter","out"
"440","31","1","1","templo","AA",0,"templo","out"
"441","33","1","1","arma","AA",0,"arma","out"
"442","33","1","1","bañera","AA",19,"bañera","out"
"443","33","1","1","barriga","AA",0,"barriga","out"
"444","33","0","1","bolígrafo","AA",4,"pluma","out"
"445","33","0","1","bombilla","AA",1,"foco","out"
"446","33","0","1","cigarrillo","AA",0,"cigarro","out"
"447","33","0","1","emparedado","AA",0,"sandwich","out"
"448","33","0","1","gafas","AA",0,"lentes","out"
"449","33","0","1","liebre","AA",0,"conejo","out"
"450","33","0","1","maní","AA",0,"cacahuate","out"
"451","33","0","1","médico","AA",15,"doctor","out"
"452","33","0","1","melocotón","AA",0,"durazno","out"
"453","33","1","1","motocicleta","AA",20,"motocicleta","out"
"454","33","0","1","móvil","AA",0,"celular","out"
"455","33","0","1","patata","AA",0,"papa","out"
"456","33","0","1","pelota","AA",19,"balón","out"
"457","33","0","1","roedor","AA",0,"ratón","out"
"458","33","1","1","sapo","AA",10,"sapo","out"
"459","33","0","1","sudadera","AA",0,"suéter","out"
"460","33","0","1","templo","AA",0,"iglesia","out"
"461","35","0","1","arma","AA",0,"pistola","out"
"462","35","1","1","bañera","AA",19,"bañera","out"
"463","35","1","1","barriga","AA",0,"barriga","out"
"464","35","1","1","bolígrafo","AA",4,"bolígrafo","out"
"465","35","1","1","bombilla","AA",1,"bombilla","out"
"466","35","0","1","cigarrillo","AA",0,"cigarro","out"
"467","35","1","1","emparedado","AA",0,"emparedado","out"
"468","35","1","1","gafas","AA",0,"gafas","out"
"469","35","1","1","liebre","AA",0,"liebre","out"
"470","35","1","1","maní","AA",0,"maní","out"
"471","35","0","1","médico","AA",15,"doctor","out"
"472","35","1","1","melocotón","AA",0,"melocotón","out"
"473","35","1","1","motocicleta","AA",20,"motocicleta","out"
"474","35","0","1","móvil","AA",0,"celular","out"
"475","35","1","1","patata","AA",0,"patata","out"
"476","35","1","1","pelota","AA",19,"pelota","out"
"477","35","0","1","roedor","AA",0,"raton","out"
"478","35","1","1","sapo","AA",10,"sapo","out"
"479","35","1","1","sudadera","AA",0,"sudadera","out"
"480","35","1","1","templo","AA",0,"templo","out"
"481","36","0","1","arma","AA",0,"pistola","out"
"482","36","0","1","bañera","AA",19,"tina","out"
"483","36","0","1","barriga","AA",0,"panza","out"
"484","36","0","1","bolígrafo","AA",4,"pluma","out"
"485","36","1","1","bombilla","AA",1,"bombilla","out"
"486","36","0","1","cigarrillo","AA",0,"cigarro","out"
"487","36","1","1","emparedado","AA",0,"emparedado","out"
"488","36","0","1","gafas","AA",0,"lentes","out"
"489","36","1","1","liebre","AA",0,"liebre","out"
"490","36","1","1","maní","AA",0,"maní","out"
