"","ID","R1","R2","target","condition","freq1","word1","word2","reuse","switch","first","second"
"113",120,"1","1","cuchillo","SS",20,"cuchillo","cuchillo","1","no","in","in"
"114",120,"0","0","ferrocarril","SS",0,"tren","tren","1","no","in","in"
"115",120,"0","0","freson","SS",0,"fresa","fresa","1","no","in","in"
"116",120,"0","0","guardarropa","SS",0,"armario","armario","1","no","in","in"
"117",120,"0","0","instrumento musical","SS",0,"acorde¢n","acorde¢n","1","no","in","in"
"118",120,"0","0","lentes","SS",0,"gafas","gafas","1","no","in","in"
"119",120,"0","0","motocicleta","SS",0,"moto","moto","1","no","in","in"
"120",120,"0","0","nino","SS",3,"beb‚","beb‚","1","no","in","in"
"121",120,"0","0","papa","SS",7,"patata","patata","1","no","in","in"
"122",120,"0","0","pintura","SS",0,"cuadro","cuadro","1","no","in","in"
"123",120,"0","0","roedor","SS",0,"rat¢n","rat¢n","1","no","in","in"
"124",120,"0","0","ropa interior","SS",0,"braguitas","braguitas","1","no","in","in"
"125",120,"0","0","sapo","SS",3,"rana","rana","1","no","in","in"
"126",120,"1","0","tripa","SS",7,"tripa","barriga","0","no","in","in"
"127",121,"1","1","alfombrilla","SS",17,"alfombrilla","alfombrilla","1","no","in","in"
"128",121,"1","1","asno","SS",7,"asno","asno","1","no","in","in"
"129",121,"1","0","banana","SS",10,"banana","platano","0","no","in","in"
"130",121,"0","0","barra de labios","SS",0,"labial","pinta labios","0","no","in","in"
"131",121,"1","0","birra","SS",7,"birra","cerveza","0","no","in","in"
"132",121,"1","0","cabello","SS",7,"cabello","pelo","0","no","in","in"
"133",121,"0","0","cuberteria","SS",13,"cobertera","cubiertos","0","no","in","in"
"134",121,"1","0","cuchillo","SS",20,"cuchillo","navaja","0","no","in","in"
"135",121,"0","0","ferrocarril","SS",0,"tren","tren","1","no","in","in"
"136",121,"1","0","freson","SS",0,"freson","fresa","0","no","in","in"
"137",121,"1","0","guardarropa","SS",0,"guardarropa","armario","0","no","in","in"
"138",121,"0","0","instrumento musical","SS",0,"acorde¢n ","acorde¢n ","1","no","in","in"
"139",121,"1","0","lentes","SS",0,"lentes","gafas","0","no","in","in"
"140",121,"1","0","motocicleta","SS",0,"motocicleta","moto","0","no","in","in"
"141",121,"1","0","nino","SS",3,"nino","bebe","0","no","in","in"
"142",121,"0","0","papa","SS",7,"","patata","0","no","in","in"
"143",121,"1","0","pintura","SS",0,"pintura","cuadro","0","no","in","in"
"144",121,"1","0","roedor","SS",0,"roedor","raton","0","no","in","in"
"145",121,"0","0","ropa interior","SS",0,"","braga","0","no","in","in"
"146",121,"1","1","sapo","SS",3,"sapo","sapo","1","no","in","in"
"147",121,"1","1","tripa","SS",7,"tripa","tripa","1","no","in","in"
"148",123,"1","1","alfombrilla","SS",17,"alfombrilla","alfombrilla","1","no","in","in"
"149",123,"1","1","asno","SS",7,"asno","asno","1","no","in","in"
"150",123,"1",NA,"banana","SS",10,"banana","pimiento","0","no","in","in"
"151",123,"1","1","barra de labios","SS",0,"barra de labios","barra de labios","1","no","in","in"
"152",123,"1","1","birra","SS",7,"birra","birra","1","no","in","in"
"153",123,"1","1","cabello","SS",7,"cabello","cabello","1","no","in","in"
"154",123,"1","1","cuberteria","SS",13,"cuberteria","cuberteria","1","no","in","in"
"155",123,"1","1","cuchillo","SS",20,"cuchillo","cuchillo","1","no","in","in"
"156",123,"1","1","ferrocarril","SS",0,"ferrocarril","ferrocarril","1","no","in","in"
"157",123,"1","1","freson","SS",0,"freson","freson","1","no","in","in"
"158",123,"1","1","guardarropa","SS",0,"guardarropa","guardarropa","1","no","in","in"
"159",123,"0","0","instrumento musical","SS",0,"acordeon","acordeon","1","no","in","in"
"160",123,"0","0","lentes","SS",0,"gafas","gafas","1","no","in","in"
"161",123,"0","0","motocicleta","SS",0,"moto","moto","1","no","in","in"
"162",123,"0","0","nino","SS",3,"bebe","bebe","1","no","in","in"
"163",123,"0","0","papa","SS",7,"patata","patata","1","no","in","in"
"164",123,"0","0","pintura","SS",0,"cuadro","cuadro","1","no","in","in"
"165",123,"0","0","roedor","SS",0,"raton","raton","1","no","in","in"
"166",123,"1","1","ropa interior","SS",0,"ropa interior","ropa interior","1","no","in","in"
"167",123,"1","1","sapo","SS",3,"sapo","sapo","1","no","in","in"
"168",123,"1","1","tripa","SS",7,"tripa","tripa","1","no","in","in"
"169",124,"0","0","alfombrilla","SS",17,"felpudo","felpudo","1","no","in","in"
"170",124,"1","1","asno","SS",7,"asno","asno","1","no","in","in"
"171",124,"1","1","banana","SS",10,"banana","banana","1","no","in","in"
"172",124,"0","0","barra de labios","SS",0,"pintalabios","pintalabios","1","no","in","in"
"173",124,"1","0","birra","SS",7,"birra","cerveza","0","no","in","in"
"174",124,"1","1","cabello","SS",7,"cabello","cabello","1","no","in","in"
"175",124,"1","0","cuberteria","SS",13,"cuberteria","cubiertos","0","no","in","in"
"176",124,"1","1","cuchillo","SS",20,"cuchillo","cuchillo","1","no","in","in"
"177",124,"1","0","ferrocarril","SS",0,"ferrocarril","tren","0","no","in","in"
"178",124,"0","0","freson","SS",0,"fresa","fresa","1","no","in","in"
"179",124,"0","0","guardarropa","SS",0,"armario","armario","1","no","in","in"
"180",124,"0","0","instrumento musical","SS",0,"acorde¢n","acorde¢n","1","no","in","in"
"181",124,"0","0","lentes","SS",0,"gafas","gafas","1","no","in","in"
"182",124,"1","1","motocicleta","SS",0,"motocicleta","motocicleta","1","no","in","in"
"183",124,"0","0","nino","SS",3,"beb‚","beb‚","1","no","in","in"
"184",124,"0","0","papa","SS",7,"patata","patata","1","no","in","in"
"185",124,"1","1","pintura","SS",0,"pintura","pintura","1","no","in","in"
"186",124,"0","0","roedor","SS",0,"rat¢n","rat¢n","1","no","in","in"
"187",124,"1","0","ropa interior","SS",0,"ropa interior","braga","0","no","in","in"
"188",124,"1","1","sapo","SS",3,"sapo","sapo","1","no","in","in"
"189",124,"1","1","tripa","SS",7,"tripa","tripa","1","no","in","in"
"190",129,"1","0","alfombrilla","SL",17,"alfombrilla","alfombra","0","yes","in","out"
"191",129,"1","1","asno","SL",7,"asno","asno","1","yes","in","out"
"192",129,"1","0","banana","SL",10,"banana","platano","0","yes","in","out"
"193",129,"0","0","barra de labios","SL",0,"barra delabios","barra","0","yes","in","out"
"194",129,"0","0","birra","SL",7,"cerveza","cerveza","1","yes","in","out"
"195",129,"1","0","cabello","SL",7,"cabello","pelo","0","yes","in","out"
"196",129,"0","0","cuberteria","SL",13,"cubiertos","cubierto","0","yes","in","out"
"197",129,NA,"1","cuchillo","SL",20,"sombrero","cuchillo",NA,"yes","in","out"
"198",129,"0","0","ferrocarril","SL",0,"tren","tren","1","yes","in","out"
"199",129,"0","0","freson","SL",0,"fresw","fresa","0","yes","in","out"
"200",129,"1","0","guardarropa","SL",0,"guardarropa","armario","0","yes","in","out"
"201",129,"0","0","instrumento musical","SL",0,"acordeon","acordeon","1","yes","in","out"
"202",129,"1","0","lentes","SL",0,"lentes","gafas","0","yes","in","out"
"203",129,"1","1","motocicleta","SL",0,"motocicleta","motocicleta","1","yes","in","out"
"204",129,"0","0","nino","SL",3,"bbe","bebe","0","yes","in","out"
"205",129,"0","0","papa","SL",7,"patata","patata","1","yes","in","out"
"206",129,"1","0","pintura","SL",0,"pintura","cuadro","0","yes","in","out"
"207",129,"0","0","roedor","SL",0,"raton","raton","1","yes","in","out"
"208",129,"1","0","ropa interior","SL",0,"ropa interior","braga","0","yes","in","out"
"209",129,"1","1","sapo","SL",3,"sapo","sapo","1","yes","in","out"
"210",129,"1","1","tripa","SL",7,"tripa","tripa","1","yes","in","out"
"211",1294,"1","1","alfombrilla","LS",17,"alfombrilla","alfombrilla","1","yes","out","in"
"212",1294,"1","1","asno","LS",7,"asno","asno","1","yes","out","in"
"213",1294,"1","1","banana","LS",10,"banana","banana","1","yes","out","in"
"214",1294,"1","1","barra de labios","LS",0,"barra de labios","barra de labios","1","yes","out","in"
"215",1294,"1","1","birra","LS",7,"birra","birra","1","yes","out","in"
"216",1294,"1","1","cabello","LS",7,"cabello","cabello","1","yes","out","in"
