,ID,target,condition,align,reuse,freq1
360,2429,mani,AM,1,0,0
361,2430,mani,AM,1,0,0
362,2431,mani,AM,1,0,0
363,2432,mani,AM,1,1,0
364,2433,mani,AM,0,1,0
365,2434,mani,AM,0,1,0
366,2435,mani,AM,1,1,0
367,2436,mani,AM,0,1,0
368,2438,mani,AM,0,1,0
369,2440,mani,AM,1,0,0
370,2441,mani,AM,1,1,0
371,2442,mani,AM,1,1,0
372,2443,mani,AM,1,1,0
373,2444,mani,AM,0,1,0
374,2445,mani,AM,0,1,0
375,2447,mani,AM,1,0,0
376,2448,mani,AM,0,1,0
377,2400,medico,AM,0,1,15
378,2401,medico,AM,0,1,15
379,2402,medico,AM,1,1,15
380,2403,medico,AM,1,1,15
381,2405,medico,AM,0,0,15
382,2406,medico,AM,1,1,15
383,2407,medico,AM,1,1,15
384,2408,medico,AM,0,1,15
385,2409,medico,AM,1,1,15
386,2410,medico,AM,0,1,15
387,2411,medico,AM,1,0,15
388,2412,medico,AM,1,0,15
389,2413,medico,AM,1,1,15
390,2414,medico,AM,1,1,15
391,2419,medico,AM,1,1,15
392,2420,medico,AM,0,1,15
393,2421,medico,AM,0,1,15
394,2424,medico,AM,0,1,15
395,2426,medico,AM,1,1,15
396,2427,medico,AM,1,1,15
397,2428,medico,AM,0,0,15
398,2429,medico,AM,1,1,15
399,2430,medico,AM,1,1,15
400,2431,medico,AM,1,0,15
401,2432,medico,AM,1,1,15
402,2433,medico,AM,0,1,15
403,2434,medico,AM,0,1,15
404,2435,medico,AM,0,1,15
405,2436,medico,AM,1,1,15
406,2438,medico,AM,1,0,15
407,2440,medico,AM,1,0,15
408,2441,medico,AM,0,1,15
409,2442,medico,AM,1,1,15
410,2443,medico,AM,1,1,15
411,2444,medico,AM,0,1,15
412,2445,medico,AM,1,1,15
413,2447,medico,AM,0,1,15
414,2448,medico,AM,0,0,15
415,2400,melocoton,AM,1,0,0
416,2401,melocoton,AM,0,1,0
417,2402,melocoton,AM,0,1,0
418,2403,melocoton,AM,1,0,0
419,2405,melocoton,AM,1,0,0
420,2406,melocoton,AM,1,1,0
421,2407,melocoton,AM,1,0,0
422,2408,melocoton,AM,0,1,0
423,2409,melocoton,AM,1,1,0
424,2410,melocoton,AM,1,0,0
425,2411,melocoton,AM,1,0,0
426,2412,melocoton,AM,1,0,0
427,2413,melocoton,AM,1,1,0
428,2414,melocoton,AM,1,0,0
429,2419,melocoton,AM,0,0,0
430,2420,melocoton,AM,0,1,0
431,2421,melocoton,AM,1,0,0
432,2424,melocoton,AM,0,1,0
433,2427,melocoton,AM,1,0,0
434,2428,melocoton,AM,0,1,0
435,2429,melocoton,AM,1,0,0
436,2430,melocoton,AM,0,1,0
437,2431,melocoton,AM,1,1,0
438,2432,melocoton,AM,0,1,0
439,2433,melocoton,AM,0,1,0
440,2434,melocoton,AM,0,1,0
441,2435,melocoton,AM,0,1,0
442,2436,melocoton,AM,1,0,0
443,2438,melocoton,AM,0,1,0
444,2440,melocoton,AM,1,0,0
445,2441,melocoton,AM,1,0,0
446,2442,melocoton,AM,1,1,0
447,2443,melocoton,AM,1,0,0
448,2444,melocoton,AM,1,0,0
449,2445,melocoton,AM,0,1,0
450,2447,melocoton,AM,1,0,0
451,2448,melocoton,AM,0,1,0
452,2400,motocicleta,AM,1,1,20
453,2401,motocicleta,AM,0,1,20
454,2402,motocicleta,AM,1,1,20
455,2403,motocicleta,AM,0,1,20
456,2405,motocicleta,AM,0,1,20
457,2406,motocicleta,AM,1,1,20
458,2407,motocicleta,AM,1,1,20
459,2408,motocicleta,AM,0,0,20
460,2409,motocicleta,AM,1,1,20
461,2410,motocicleta,AM,0,1,20
462,2411,motocicleta,AM,1,1,20
463,2412,motocicleta,AM,0,1,20
464,2413,motocicleta,AM,1,1,20
465,2414,motocicleta,AM,0,1,20
466,2419,motocicleta,AM,1,1,20
467,2420,motocicleta,AM,1,1,20
468,2421,motocicleta,AM,1,1,20
469,2424,motocicleta,AM,1,1,20
470,2426,motocicleta,AM,1,1,20
471,2427,motocicleta,AM,1,1,20
472,2428,motocicleta,AM,0,1,20
473,2429,motocicleta,AM,1,1,20
474,2430,motocicleta,AM,1,1,20
475,2431,motocicleta,AM,1,1,20
476,2432,motocicleta,AM,1,1,20
477,2433,motocicleta,AM,0,1,20
478,2434,motocicleta,AM,0,1,20
479,2435,motocicleta,AM,0,1,20
480,2436,motocicleta,AM,1,1,20
481,2438,motocicleta,AM,0,1,20
482,2440,motocicleta,AM,1,1,20
483,2441,motocicleta,AM,0,0,20
484,2442,motocicleta,AM,1,1,20
485,2443,motocicleta,AM,0,1,20
486,2444,motocicleta,AM,1,1,20
487,2445,motocicleta,AM,1,1,20
488,2447,motocicleta,AM,0,1,20
489,2448,motocicleta,AM,0,1,20
490,2400,movil,AM,1,1,0
491,2401,movil,AM,0,1,0
492,2402,movil,AM,0,1,0
493,2403,movil,AM,0,1,0
494,2405,movil,AM,0,0,0
495,2406,movil,AM,1,1,0
496,2407,movil,AM,0,1,0
497,2408,movil,AM,0,1,0
498,2409,movil,AM,1,0,0
499,2410,movil,AM,1,0,0
500,2411,movil,AM,1,0,0
501,2412,movil,AM,1,0,0
502,2413,movil,AM,0,1,0
503,2414,movil,AM,0,1,0
504,2419,movil,AM,0,1,0
505,2420,movil,AM,0,1,0
506,2421,movil,AM,0,1,0
507,2424,movil,AM,1,0,0
508,2426,movil,AM,0,1,0
509,2427,movil,AM,1,0,0
510,2428,movil,AM,0,1,0
511,2429,movil,AM,0,1,0
512,2430,movil,AM,1,0,0
513,2431,movil,AM,1,1,0
514,2432,movil,AM,0,1,0
515,2433,movil,AM,0,1,0
516,2434,movil,AM,0,1,0
517,2435,movil,AM,0,1,0
518,2436,movil,AM,0,1,0
519,2438,movil,AM,0,0,0
520,2440,movil,AM,1,0,0
521,2441,movil,AM,0,1,0
522,2442,movil,AM,1,1,0
523,2443,movil,AM,1,0,0
524,2444,movil,AM,0,1,0
525,2445,movil,AM,0,0,0
526,2447,movil,AM,1,0,0
527,2448,movil,AM,0,1,0
528,2400,patata,AM,1,0,0
529,2401,patata,AM,0,1,0
530,2402,patata,AM,0,1,0
531,2403,patata,AM,0,1,0
532,2405,patata,AM,0,1,0
533,2406,patata,AM,1,1,0
534,2407,patata,AM,1,0,0
535,2408,patata,AM,0,1,0
536,2409,patata,AM,1,0,0
537,2410,patata,AM,1,0,0
538,2411,patata,AM,1,0,0
539,2412,patata,AM,1,0,0
540,2413,patata,AM,1,1,0
541,2414,patata,AM,0,1,0
542,2419,patata,AM,0,1,0
543,2420,patata,AM,0,1,0
544,2421,patata,AM,1,1,0
545,2424,patata,AM,0,1,0
546,2426,patata,AM,0,1,0
547,2427,patata,AM,1,0,0
548,2428,patata,AM,0,1,0
549,2429,patata,AM,1,0,0
550,2430,patata,AM,0,1,0
551,2431,patata,AM,1,0,0
552,2432,patata,AM,0,1,0
553,2433,patata,AM,0,1,0
554,2434,patata,AM,0,1,0
555,2435,patata,AM,0,1,0
556,2436,patata,AM,1,0,0
557,2438,patata,AM,0,1,0
558,2440,patata,AM,1,0,0
559,2441,patata,AM,1,1,0
560,2442,patata,AM,1,1,0
561,2443,patata,AM,0,1,0
562,2444,patata,AM,0,1,0
563,2445,patata,AM,0,1,0
564,2447,patata,AM,1,0,0
565,2448,patata,AM,0,1,0
566,2400,pelota,AM,1,1,19
567,2401,pelota,AM,0,1,19
568,2402,pelota,AM,1,1,19
569,2403,pelota,AM,0,1,19
570,2405,pelota,AM,0,1,19
571,2406,pelota,AM,1,1,19
572,2407,pelota,AM,0,1,19
573,2408,pelota,AM,0,1,19
574,2409,pelota,AM,1,0,19
575,2410,pelota,AM,0,1,19
576,2411,pelota,AM,1,0,19
577,2412,pelota,AM,1,0,19
578,2413,pelota,AM,0,1,19
579,2414,pelota,AM,1,1,19
580,2419,pelota,AM,0,1,19
581,2420,pelota,AM,0,0,19
582,2421,pelota,AM,0,1,19
583,2424,pelota,AM,0,1,19
584,2426,pelota,AM,1,1,19
585,2427,pelota,AM,1,0,19
586,2428,pelota,AM,0,1,19
587,2429,pelota,AM,1,0,19
588,2430,pelota,AM,0,1,19
589,2431,pelota,AM,0,1,19
590,2432,pelota,AM,0,0,19
591,2433,pelota,AM,1,1,19
592,2434,pelota,AM,1,1,19
593,2435,pelota,AM,0,1,19
594,2436,pelota,AM,1,1,19
595,2438,pelota,AM,0,1,19
596,2440,pelota,AM,1,0,19
597,2441,pelota,AM,0,1,19
598,2442,pelota,AM,1,1,19
599,2443,pelota,AM,0,1,19
600,2444,pelota,AM,1,1,19
601,2445,pelota,AM,1,0,19
602,2447,pelota,AM,1,0,19
603,2448,pelota,AM,1,0,19
604,2400,roedor,AM,1,0,0
605,2401,roedor,AM,0,1,0
